Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Jeff Attinella,us USA,GK,Portland Timbers,32,1988,3,2,170,1.9,2,1.06,5,4,80,1,0,1,0,0,1,1,0,0,0,Matches,4277b946
2,Brandon Austin,eng ENG,GK,Orlando City,22,1999,5,5,450,5,8,1.6,16,8,50,3,0,2,1,20,0,0,0,0,,Matches,5e253986
3,Luis Barraza,us USA,GK,NYCFC,24,1996,5,5,450,5,5,1,12,7,75,3,0,2,2,40,2,2,0,0,0,Matches,e6f22a6b
4,Joe Bendik,us USA,GK,Philadelphia,31,1989,3,2,212,2.4,3,1.27,8,5,87.5,1,0,1,0,0,2,2,0,0,0,Matches,c3e50b67
5,Jamal Blackman,eng ENG,GK,Los Angeles FC,27,1993,8,8,720,8,13,1.62,34,21,61.8,3,3,2,1,12.5,0,0,0,0,,Matches,dd26b605
6,Andre Blake,jm JAM,GK,Philadelphia,30,1990,26,26,2340,26,24,0.92,98,73,76.5,12,8,6,12,46.2,4,1,3,0,75,Matches,b3b21a11
7,Jonathan Bond,eng ENG,GK,LA Galaxy,27,1993,31,31,2790,31,50,1.61,169,121,73.4,12,8,11,4,12.9,6,5,0,1,0,Matches,c3a86eea
8,Alex Bono,us USA,GK,Toronto FC,26,1994,24,24,2160,24,44,1.83,124,82,68.5,6,7,11,2,8.3,5,5,0,0,0,Matches,aa28a396
9,Sebastian Breza,ca CAN,GK,CF Montréal,22,1998,8,8,720,8,8,1,29,21,75.9,3,2,3,2,25,1,1,0,0,0,Matches,52e7f812
10,Evan Bush,us USA,GK,Columbus Crew,34,1986,4,4,360,4,6,1.5,13,7,53.8,2,1,1,1,25,0,0,0,0,,Matches,69a57596
11,Steve Clark,us USA,GK,Portland Timbers,34,1986,24,24,2096,23.3,30,1.29,118,88,79.7,13,3,8,7,29.2,6,6,0,0,0,Matches,ed6320b7
12,Stefan Cleveland,us USA,GK,Seattle,26,1994,15,15,1350,15,17,1.13,46,29,69.6,6,5,4,3,20,3,3,0,0,0,Matches,873fdbdf
13,Carlos Coronel,br BRA,GK,NY Red Bulls,24,1996,34,34,3060,34,33,0.97,120,86,75,13,9,12,13,38.2,4,3,1,0,25,Matches,5c07e176
14,Maxime Crépeau,ca CAN,GK,Vancouver,26,1994,27,27,2430,27,31,1.15,126,96,77.8,10,10,7,6,22.2,4,3,1,0,25,Matches,ea42e480
15,Cody Cropper,us USA,GK,FC Cincinnati,27,1993,1,1,90,1,5,5,10,6,50,0,0,1,0,0,0,0,0,0,,Matches,aa133046
16,Mario Daniel Vega,ar ARG,GK,San Jose,36,1984,1,1,90,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,,Matches,6904a59a
17,Clément Diop,sn SEN,GK,CF Montréal,27,1993,8,8,720,8,9,1.13,32,23,78.1,2,3,3,3,37.5,2,2,0,0,0,Matches,0d5c0218
18,Matt Freese,us USA,GK,Philadelphia,22,1998,6,6,506,5.6,8,1.42,22,15,63.6,1,4,1,0,0,0,0,0,0,,Matches,2f49476c
19,Stefan Frei,ch SUI,GK,Seattle,34,1986,17,17,1530,17,16,0.94,59,44,72.9,9,4,4,4,23.5,1,0,0,1,,Matches,1d0a0f3e
20,Pedro Gallese,pe PER,GK,Orlando City,30,1990,22,22,1980,22,30,1.36,96,66,70.8,7,9,6,7,31.8,3,2,1,0,33.3,Matches,b76e1394
21,Adam Grinwis,us USA,GK,Orlando City,28,1992,2,2,180,2,5,2.5,7,4,28.6,1,0,1,0,0,0,0,0,0,,Matches,0d3f30b9
22,Brad Guzan,us USA,GK,Atlanta Utd,36,1984,29,29,2610,29,29,1,127,98,80.3,13,10,6,10,34.5,4,4,0,0,0,Matches,d899e3bf
23,Bill Hamid,us USA,GK,D.C. United,30,1990,21,21,1816,20.2,28,1.39,87,60,69,10,4,7,8,38.1,1,1,0,0,0,Matches,012fc030
24,Thomas Hasal,ca CAN,GK,Vancouver,21,1999,7,7,630,7,14,2,34,20,61.8,2,3,2,1,14.3,1,1,0,0,0,Matches,86bac87b
25,Clint Irwin,us USA,GK,Colorado Rapids,31,1989,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,Matches,c1205184
26,Aljaž Ivačič,si SVN,GK,Portland Timbers,27,1993,5,4,411,4.6,12,2.63,33,21,63.6,1,1,2,0,0,0,0,0,0,,Matches,4d6e50d8
27,Sean Johnson,us USA,GK,NYCFC,31,1989,29,29,2610,29,31,1.07,114,84,73.7,11,9,9,9,31,1,1,0,0,0,Matches,c164335e
28,Alec Kann,us USA,GK,Atlanta Utd,30,1990,5,5,450,5,8,1.6,31,23,77.4,0,2,3,0,0,1,1,0,0,0,Matches,4a8af93c
29,Jon Kempin,us USA,GK,D.C. United,27,1993,10,9,884,9.8,17,1.73,34,18,52.9,3,1,5,1,11.1,1,1,0,0,0,Matches,063adc5e
30,Logan Ketterer,us USA,GK,Portland Timbers,27,1993,3,3,270,3,3,1,12,8,75,2,0,1,2,66.7,1,0,1,0,100,Matches,927c3059
31,Jonathan Klinsmann,us USA,GK,LA Galaxy,23,1997,3,3,270,3,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,,Matches,1e29552f
32,Brad Knighton,us USA,GK,New England,35,1985,6,6,540,6,6,1,28,22,78.6,5,0,1,3,50,0,0,0,0,,Matches,9903a3cb
33,Zac MacMath,us USA,GK,Real Salt Lake,29,1991,7,7,585,6.5,6,0.92,20,14,75,2,2,3,2,28.6,1,1,0,0,0,Matches,06caac45
34,J.T. Marcinkowski,us USA,GK,San Jose,23,1997,33,33,2970,33,53,1.61,179,128,72.1,10,10,13,5,15.2,4,3,1,0,25,Matches,977791f4
35,Marko Marić,hr CRO,GK,Houston Dynamo,25,1996,22,22,1980,22,34,1.55,100,68,67,3,10,9,3,13.6,2,1,0,1,0,Matches,b57454c7
36,Nick Marsman,nl NED,GK,Inter Miami,30,1990,22,22,1919,21.3,33,1.55,99,67,68.7,9,3,10,5,22.7,3,2,1,0,33.3,Matches,f352799f
37,Jimmy Maurer,us USA,GK,FC Dallas,32,1988,24,24,2130,23.7,37,1.56,112,74,70.5,5,8,11,3,12.5,6,4,2,0,33.3,Matches,ca1c6f3d
38,John McCarthy,us USA,GK,Inter Miami,28,1992,13,12,1141,12.7,20,1.58,55,35,65.5,3,2,7,2,16.7,1,1,0,0,0,Matches,2.49E+14
39,Phelipe Megiolaro,br BRA,GK,FC Dallas,21,1999,11,10,930,10.3,19,1.84,55,36,72.7,2,4,4,1,10,4,4,0,0,0,Matches,73aaa27d
40,Tim Melia,us USA,GK,Sporting KC,34,1986,28,28,2520,28,33,1.18,100,67,69,14,6,8,7,25,2,2,0,0,0,Matches,cc741f50
41,Tyler Miller,us USA,GK,Minnesota Utd,27,1993,30,30,2700,30,34,1.13,133,100,77.4,13,10,7,11,36.7,5,4,1,0,20,Matches,7827a6b3
42,Kyle Morton,us USA,GK,Houston Dynamo,26,1994,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,Matches,3f394ec5
43,Michael Nelson,us USA,GK,Houston Dynamo,25,1995,11,11,990,11,18,1.64,48,31,68.8,3,2,6,2,18.2,3,3,0,0,0,Matches,f4a12161
44,David Ochoa,us USA,GK,Real Salt Lake,20,2001,25,25,2250,25,40,1.6,120,81,68.3,11,4,10,5,20,3,2,1,0,33.3,Matches,dba6b279
45,James Pantemis,ca CAN,GK,CF Montréal,23,1997,18,18,1620,18,27,1.5,81,56,69.1,7,5,6,3,16.7,2,2,0,0,0,Matches,901408ac
46,John Pulskamp,us USA,GK,Sporting KC,19,2001,6,6,540,6,7,1.17,20,13,65,3,1,2,1,16.7,0,0,0,0,,Matches,6b306c92
47,Andrew Putna,us USA,GK,Real Salt Lake,26,1994,3,2,225,2.5,8,3.2,12,5,33.3,1,0,1,0,0,0,0,0,0,,Matches,5ba8a3f3
48,Spencer Richey,us USA,GK,Seattle,28,1992,2,2,180,2,0,0,5,5,100,2,0,0,2,100,0,0,0,0,,Matches,d9178ea2
49,Tomas Romero,sv SLV,GK,Los Angeles FC,20,2000,18,18,1620,18,28,1.56,61,33,54.1,7,3,8,4,22.2,0,0,0,0,,Matches,3349dcba
50,Eloy Room,cw CUW,GK,Columbus Crew,31,1989,30,30,2700,30,39,1.3,122,83,71.3,11,7,12,7,23.3,5,4,0,1,0,Matches,6b33d86b
51,Chris Seitz,us USA,GK,D.C. United,33,1987,4,4,360,4,9,2.25,17,11,47.1,1,0,3,0,0,0,0,0,0,,Matches,8b388dd5
52,Bobby Shuttleworth,us USA,GK,Chicago Fire,33,1987,23,23,2070,23,38,1.65,109,73,67.9,6,4,13,4,17.4,3,3,0,0,0,Matches,4598ac94
53,Pablo Sisniega,mx MEX,GK,Los Angeles FC,25,1995,8,8,720,8,10,1.25,24,14,58.3,2,3,3,1,12.5,0,0,0,0,,Matches,5.51E+06
54,Gaga Slonina,us USA,GK,Chicago Fire,16,2004,11,11,990,11,16,1.45,60,44,75,3,3,5,4,36.4,2,1,1,0,50,Matches,c55a846e
55,Dayne St. Clair,ca CAN,GK,Minnesota Utd,23,1997,4,4,360,4,10,2.5,21,10,52.4,0,0,4,0,0,1,0,1,0,100,Matches,3f41d25f
56,Mason Stajduhar,us USA,GK,Orlando City,23,1997,5,5,450,5,5,1,15,10,66.7,2,3,0,1,20,0,0,0,0,,Matches,f01df62c
57,Brad Stuver,us USA,GK,Austin,29,1991,33,33,2970,33,53,1.61,188,135,72.9,9,4,20,5,15.2,3,2,1,0,33.3,Matches,6a1940d5
58,Hunter Sulte,us USA,GK,Portland Timbers,18,2002,2,1,113,1.3,5,3.98,8,3,37.5,0,0,1,0,0,0,0,0,0,,Matches,92823044
59,Andrew Tarbell,us USA,GK,Austin,27,1993,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,Matches,c5487a34
60,Matt Turner,us USA,GK,New England,26,1994,28,28,2520,28,35,1.25,135,99,75.6,17,7,4,5,17.9,4,2,2,0,50,Matches,4a51ba65
61,Przemysław Tytoń,pl POL,GK,FC Cincinnati,34,1987,15,14,1286,14.3,35,2.45,88,53,61.4,1,2,11,2,14.3,1,1,0,0,0,Matches,1fa85681
62,Kenneth Vermeer,nl NED,GK,FC Cincinnati,35,1986,19,19,1684,18.7,34,1.82,91,57,63.7,3,6,10,4,21.1,1,1,0,0,0,Matches,22a94b80
63,Quentin Westberg,us USA,GK,Toronto FC,34,1986,10,10,900,10,22,2.2,57,35,63.2,0,3,7,0,0,1,1,0,0,0,Matches,5480ae05
64,Joe Willis,us USA,GK,Nashville,32,1988,34,34,3060,34,33,0.97,131,99,77.9,12,18,4,13,38.2,5,4,1,0,20,Matches,467f09c8
65,William Yarbrough,us USA,GK,Colorado Rapids,31,1989,33,33,2970,33,32,0.97,137,106,77.4,17,10,6,13,39.4,1,1,0,0,0,Matches,ec646e88